length,radius
0.06476674000000315,-788.5830965
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
1.0,-17.2640866
0.41447859000000165,-17.2640866
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
1.0,2545.351323
0.5065218499999986,2545.351323
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
1.0,18.27664245
0.25033183000000037,18.27664245
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
1.0,-26.86115179
0.5338003700000016,-26.86115179
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
1.0,16.46541517
0.27004722000000037,16.46541517
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
1.0,-21.55428282
0.3202178999999994,-21.55428282
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
1.0,22.42842549
0.7753362499999987,22.42842549
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
1.0,-12.32020206
0.4044284099999995,-12.32020206
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
1.0,23.46187464
0.15629073700000085,23.46187464
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
1.0,-34.8433963
0.5271734370000001,-34.8433963
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
1.0,-1062.562399
0.6886157699999984,-1062.562399
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
1.0,-8.499051075
0.9647815400000006,-8.499051075
1.0,10.35924562
1.0,10.35924562
1.0,10.35924562
1.0,10.35924562
1.0,10.35924562
